title,label
Indonesia Tuan Rumah KTT ASEAN Tahun Depan,REAL
Rupiah Menguat ke Level Rp 14.500 per Dolar AS,REAL
Vaksinasi Booster Kedua Mulai Diberikan untuk Masyarakat Umum,REAL
Polisi Tangkap Pengedar Narkoba Jaringan Internasional di Batam,REAL
Pameran Otomotif GIIAS 2026 Hadirkan Mobil Terbang Pertama,REAL
Universitas Indonesia Masuk Daftar 100 Kampus Terbaik Asia,REAL
Pemprov DKI Jakarta Tambah Armada Bus Listrik TransJakarta,REAL
Warga Baduy Minta Sinyal Internet Dihapus dari Wilayah Mereka,REAL
Kasus COVID-19 Varian Baru Ditemukan di Bandara Soekarno-Hatta,REAL
Harga Cabai Rawit Meroket Jelang Bulan Puasa,REAL
Pemerintah Hapus Syarat PCR untuk Perjalanan Domestik,REAL
Tim Bulu Tangkis Indonesia Raih Juara Thomas Cup,REAL
Jalan Layang Non-Tol Casablanca Ditutup Sementara untuk Perbaikan,REAL
Microsoft Investasi Pembangunan Data Center di Jawa Barat,REAL
Penemuan Candi Kuno di Proyek Tol Jogja-Solo,REAL
Wisatawan Mancanegara di Bali Meningkat 200 Persen,REAL
Satelit SATRIA-1 Sukses Meluncur ke Orbit,REAL
Pemerintah Subsidi Pembelian Motor Listrik Rp 7 Juta,REAL
Uji Coba Taksi Terbang di IKN Berjalan Mulus,REAL
"Kemarau Panjang, Petani di Gunung Kidul Terancam Gagal Panen",REAL
Pelabuhan Patimban Resmi Beroperasi Penuh Hari Ini,REAL
PSSI Umumkan Jadwal Liga 1 Musim 2026/2027,REAL
Hutan Mangrove Bali Jadi Percontohan Restorasi Dunia,REAL
KABAR GEMBIRA! Kominfo Bagi-Bagi Pulsa 1 Juta Rupiah Lewat WhatsApp,FAKE
TERBONGKAR! Vaksin COVID-19 Mengandung Chip Pelacak Yahudi,FAKE
BUMI ITU DATAR!! Foto NASA Hanyalah CGI Buatan Hollywood,FAKE
AWAS! Minum Air Es Setelah Makan Bakso Bisa Bikin Usus Beku,FAKE
GEGER! Ditemukan Bayi Ajaib Bisa Mengaji Saat Baru Lahir,FAKE
Konspirasi Besar! Virus Corona Ciptaan Bill Gates untuk Kurangi Populasi,FAKE
HANYA HARI INI! Klik Link Ini Dapat Saldo DANA Kaget Rp 500.000,FAKE
MENGEJUTKAN! Prabowo Subianto Ternyata Keturunan Alien dari Mars,FAKE
VIRAL! Awan Berbentuk Wajah Yesus Muncul di Langit Manado,FAKE
"BAHAYA! Jangan Keluar Rumah Malam Ini, Ada Radiasi Kosmik Mematikan",FAKE
TERKUAK! Istana Negara Menyimpan Lorong Rahasia ke Pangkalan UFO,FAKE
Kiamat Sudah Dekat! Matahari Terbit dari Barat Pagi Ini di Papua,FAKE
Jokowi Umumkan Jual Pulau Kalimantan ke China Demi Lunasi Utang,FAKE
MERINDING! Suara Terompet Sangkakala Terdengar di Langit Jakarta,FAKE
Obat Kanker Ditemukan! Cukup Minum Air Rebusan Kulit Manggis,FAKE
"Kartu Prakerja Gelombang 99 Dibuka, Daftar Cuma Pakai Foto KTP",FAKE
HEBOH! Ikan Paus Terdampar Membawa Pesan Kiamat di Perutnya,FAKE
Hati-Hati! Begal Payudara Mengincar Wanita Berhijab di Depok,FAKE
TERBUKTI! Minum Kencing Unta Bisa Sembuhkan Segala Macam Penyakit,FAKE
"Artis RA Ditangkap Karena Pesugihan Babi Ngepet, Hartanya Disita",FAKE
SBY Meninggal Dunia! Kabar Duka Menyelimuti Cikeas Hari Ini,FAKE
WASPADA! Penculikan Anak Modus Jual Es Krim Keliling,FAKE
"Ternyata Candi Borobudur Dibangun oleh Nabi Sulaiman, Bukan Syailendra",FAKE
Uang Kertas Rp 75.000 Bisa Nyanyi Indonesia Raya Jika Discan,FAKE
"Garam Dapur Mengandung Pecahan Kaca, Jangan Beli Merek Ini!",FAKE
Siap-Siap! Internet Seluruh Dunia Akan Mati Total Bulan Depan,FAKE
Kisah Nyata! Anak Durhaka Dikutuk Jadi Ikan Pari di Padang,FAKE
"Asteroid Raksasa Akan Tabrak Bumi Besok, NASA Sembunyikan Fakta",FAKE
Minum Air Kelapa Bakar Campur Telur Bebek Bisa Bikin Kebal Corona,FAKE
"Pertamina Bagi-Bagi BBM Gratis Spesial HUT RI, Cek Linknya",FAKE
"SHOCK! Raffi Ahmad Bangkrut Total, Semua Aset Disita Bank",FAKE
Ilmuwan NASA Masuk Islam Setelah Temukan Bukti Kebenaran Al-Quran,FAKE
Jangan Makan Anggur Jenis Ini! Mengandung Formalin Buatan China,FAKE
TERJADI LAGI! Penampakan Kuntilanak Merah di Tol Cipularang KM 97,FAKE
"WhatsApp Akan Berbayar Mulai Besok, Bagikan Pesan Ini Agar Gratis",FAKE
Struk ATM BRI Bisa Dipakai untuk Klaim Sembako Gratis,FAKE
Mbah Mijan Ramal Akan Ada Tsunami Dasyat di Jawa Akhir Tahun Ini,FAKE
"Foto Bocoran iPhone 20 Punya 10 Kamera Belakang, Desain Aneh",FAKE
Bintang Sepakbola Messi Ternyata Asli Keturunan Padang,FAKE
Hantu Kuyang Berkeliaran di Kalimantan Cari Mangsa Ibu Hamil,FAKE
Barcode Vaksin di Lengan Bisa Menyala Saat Discan Pakai HP,FAKE
Pemerintah Akan Hapus Pelajaran Agama di Sekolah Mulai Tahun Ajaran Baru,FAKE
"Beredar Video Dinosaurus Hidup Kembali di Magetan, Warga Panik",FAKE
Cek KTP Anda! Jika Ada Kode Ini Anda Berhak Dapat Bantuan 600 Ribu,FAKE
Pintu Neraka Ditemukan di Lubang Galian Tambang Freeport,FAKE
Makan Durian dan Kopi Bersamaan Bisa Meledakkan Jantung,FAKE
"Alien Sudah Mendarat di Area 51, Pemerintah AS Tutup Mulut",FAKE
Banjir Darah di Sungai Nil Tanda Akhir Zaman Sudah Tiba,FAKE
Kabar Gembira! Utang Indonesia Lunas Dibayar Sultan Brunei,FAKE
